condition,rmseResult,experimentLabel
sample.id:Br8325_mid,1.61e-01,cohort1_k3
sample.id:Br2743_mid,9.91e-02,cohort1_k3
sample.id:Br6432_ant,1.65e-01,cohort1_k3
sample.id:Br6522_mid,1.58e-01,cohort1_k3
sample.id:Br6522_post,1.48e-01,cohort1_k3
sample.id:Br8667_mid,2.27e-01,cohort1_k3
sample.id:Br8667_ant,2.28e-01,cohort1_k3
condition.id:noscale,6.65e-01,cohort1_k3
condition.id:withscale,3.75e-16,cohort1_k3
replicate.id:rep1,6.65e-01,cohort1_k3
replicate.id:rep1;condition.id:noscale,6.65e-01,cohort1_k3
replicate.id:rep1;condition.id:withscale,3.75e-16,cohort1_k3
sample.id:donor6,2.00e-01,cohort2_k3
sample.id:donor1,1.70e-01,cohort2_k3
sample.id:donor2,1.91e-01,cohort2_k3
condition.id:noscale,3.25e-01,cohort2_k3
condition.id:withscale,2.90e-16,cohort2_k3
replicate.id:rep1,3.25e-01,cohort2_k3
replicate.id:rep1;condition.id:noscale,3.25e-01,cohort2_k3
replicate.id:rep1;condition.id:withscale,2.90e-16,cohort2_k3
sample.id:Br6471_mid,1.80e-01,cohort1_bulk_nnls
sample.id:Br8492_post,1.17e-01,cohort1_bulk_nnls
sample.id:Br8492_mid,7.86e-02,cohort1_bulk_nnls
sample.id:Br3942_ant,4.22e-02,cohort1_bulk_nnls
sample.id:Br8325_ant,2.72e-02,cohort1_bulk_nnls
sample.id:Br8325_mid,6.72e-02,cohort1_bulk_nnls
sample.id:Br6522_mid,6.59e-01,cohort1_bulk_nnls
sample.id:Br8667_mid,1.58e-01,cohort1_bulk_nnls
condition.id:scale,4.85e-01,cohort1_bulk_nnls
condition.id:noscale,5.33e-01,cohort1_bulk_nnls
replicate.id:nnls,7.20e-01,cohort1_bulk_nnls
replicate.id:nnls;condition.id:scale,4.85e-01,cohort1_bulk_nnls
replicate.id:nnls;condition.id:noscale,5.33e-01,cohort1_bulk_nnls
sample.id:Br6471_mid,1.84e-01,cohort1_bulk_music
sample.id:Br8492_post,1.29e-01,cohort1_bulk_music
sample.id:Br8492_mid,7.51e-02,cohort1_bulk_music
sample.id:Br3942_ant,4.75e-02,cohort1_bulk_music
sample.id:Br8325_ant,2.79e-02,cohort1_bulk_music
sample.id:Br8325_mid,7.83e-02,cohort1_bulk_music
sample.id:Br6522_mid,6.57e-01,cohort1_bulk_music
sample.id:Br8667_mid,1.64e-01,cohort1_bulk_music
condition.id:scale,4.76e-01,cohort1_bulk_music
condition.id:no,5.45e-01,cohort1_bulk_music
replicate.id:music,7.24e-01,cohort1_bulk_music
replicate.id:music;condition.id:scale,4.76e-01,cohort1_bulk_music
replicate.id:music;condition.id:no,5.45e-01,cohort1_bulk_music
sample.id:Br6471_mid,9.23e-02,cohort1_bulk_bisque
sample.id:Br8492_post,3.96e-02,cohort1_bulk_bisque
sample.id:Br8492_mid,1.85e-02,cohort1_bulk_bisque
sample.id:Br3942_ant,1.18e-01,cohort1_bulk_bisque
sample.id:Br8325_ant,1.24e-01,cohort1_bulk_bisque
sample.id:Br8325_mid,1.35e-01,cohort1_bulk_bisque
sample.id:Br6522_mid,1.77e-01,cohort1_bulk_bisque
sample.id:Br8667_mid,2.04e-01,cohort1_bulk_bisque
condition.id:scale,2.56e-01,cohort1_bulk_bisque
condition.id:no,2.56e-01,cohort1_bulk_bisque
replicate.id:bisque,3.62e-01,cohort1_bulk_bisque
replicate.id:bisque;condition.id:scale,2.56e-01,cohort1_bulk_bisque
replicate.id:bisque;condition.id:no,2.56e-01,cohort1_bulk_bisque
sample.id:453W,1.40e+00,cohort3_k2
sample.id:684C,1.32e+00,cohort3_k2
sample.id:CR3L,1.35e+00,cohort3_k2
sample.id:FLWA,1.39e+00,cohort3_k2
sample.id:FY2H,1.40e+00,cohort3_k2
sample.id:CYFZ,1.39e+00,cohort3_k2
sample.id:925L,1.40e+00,cohort3_k2
sample.id:9JD4,1.38e+00,cohort3_k2
sample.id:G4YW,1.35e+00,cohort3_k2
sample.id:4DUY,1.33e+00,cohort3_k2
sample.id:CZJE,1.39e+00,cohort3_k2
sample.id:36TS,1.39e+00,cohort3_k2
condition.id:scaled,3.44e+00,cohort3_k2
condition.id:unscaled,3.29e+00,cohort3_k2
replicate.id:rep1,4.76e+00,cohort3_k2
replicate.id:rep1;condition.id:scaled,3.44e+00,cohort3_k2
replicate.id:rep1;condition.id:unscaled,3.29e+00,cohort3_k2
sample.id:453W,9.76e-03,cohort3_plasmablasts_k2
sample.id:684C,7.89e-02,cohort3_plasmablasts_k2
sample.id:CR3L,5.79e-02,cohort3_plasmablasts_k2
sample.id:FLWA,1.93e-02,cohort3_plasmablasts_k2
sample.id:FY2H,1.40e-02,cohort3_plasmablasts_k2
sample.id:CYFZ,2.34e-02,cohort3_plasmablasts_k2
sample.id:925L,1.51e-02,cohort3_plasmablasts_k2
sample.id:9JD4,3.16e-02,cohort3_plasmablasts_k2
sample.id:G4YW,5.13e-02,cohort3_plasmablasts_k2
sample.id:4DUY,6.81e-02,cohort3_plasmablasts_k2
sample.id:CZJE,2.34e-02,cohort3_plasmablasts_k2
sample.id:36TS,2.24e-02,cohort3_plasmablasts_k2
condition.id:scaled,1.41e-02,cohort3_plasmablasts_k2
condition.id:unscaled,1.42e-01,cohort3_plasmablasts_k2
replicate.id:rep1,1.43e-01,cohort3_plasmablasts_k2
replicate.id:rep1;condition.id:scaled,1.41e-02,cohort3_plasmablasts_k2
replicate.id:rep1;condition.id:unscaled,1.42e-01,cohort3_plasmablasts_k2
sample.id:453W,1.41e+00,cohort3_nonplasmablasts_k2
sample.id:684C,1.37e+00,cohort3_nonplasmablasts_k2
sample.id:CR3L,1.38e+00,cohort3_nonplasmablasts_k2
sample.id:FLWA,1.40e+00,cohort3_nonplasmablasts_k2
sample.id:FY2H,1.41e+00,cohort3_nonplasmablasts_k2
sample.id:CYFZ,1.40e+00,cohort3_nonplasmablasts_k2
sample.id:925L,1.41e+00,cohort3_nonplasmablasts_k2
sample.id:9JD4,1.40e+00,cohort3_nonplasmablasts_k2
sample.id:G4YW,1.38e+00,cohort3_nonplasmablasts_k2
sample.id:4DUY,1.37e+00,cohort3_nonplasmablasts_k2
sample.id:CZJE,1.40e+00,cohort3_nonplasmablasts_k2
sample.id:36TS,1.40e+00,cohort3_nonplasmablasts_k2
condition.id:scaled,3.45e+00,cohort3_nonplasmablasts_k2
condition.id:unscaled,3.38e+00,cohort3_nonplasmablasts_k2
replicate.id:rep1,4.83e+00,cohort3_nonplasmablasts_k2
replicate.id:rep1;condition.id:scaled,3.45e+00,cohort3_nonplasmablasts_k2
replicate.id:rep1;condition.id:unscaled,3.38e+00,cohort3_nonplasmablasts_k2
